zip_code,state,county,city,population,population_density,median_household_income,average_household_income,median_age,poverty_rate,unemployment_rate,land_area_sq_mi,geoid
10550,New York,,,38972.0,,,,,,,,
10552,New York,,,22341.0,,,,,,,,
10553,New York,,,11011.0,,,,,,,,
10560,New York,,,4918.0,,,,,,,,
10562,New York,,,33793.0,,,,,,,,
10566,New York,,,25625.0,,,,,,,,
10567,New York,,,19976.0,,,,,,,,
10570,New York,,,13289.0,,,,,,,,
10573,New York,,,40786.0,,,,,,,,
10576,New York,,,4891.0,,,,,,,,
10577,New York,,,5945.0,,,,,,,,
10578,New York,,,1780.0,,,,,,,,
10579,New York,,,9019.0,,,,,,,,
10580,New York,,,18391.0,,,,,,,,
10583,New York,,,40207.0,,,,,,,,
10588,New York,,,2783.0,,,,,,,,
10589,New York,,,7604.0,,,,,,,,
10590,New York,,,6989.0,,,,,,,,
10591,New York,,,23926.0,,,,,,,,
10594,New York,,,5110.0,,,,,,,,
10595,New York,,,7243.0,,,,,,,,
10596,New York,,,650.0,,,,,,,,
10597,New York,,,679.0,,,,,,,,
10598,New York,,,28821.0,,,,,,,,
10601,New York,,,11930.0,,,,,,,,
10603,New York,,,18910.0,,,,,,,,
10604,New York,,,12517.0,,,,,,,,
10605,New York,,,19493.0,,,,,,,,
10606,New York,,,17341.0,,,,,,,,
10607,New York,,,6466.0,,,,,,,,
10701,New York,,,70676.0,,,,,,,,
10703,New York,,,22586.0,,,,,,,,
10704,New York,,,31921.0,,,,,,,,
10705,New York,,,38887.0,,,,,,,,
10706,New York,,,9183.0,,,,,,,,
10707,New York,,,9688.0,,,,,,,,
10708,New York,,,22482.0,,,,,,,,
10709,New York,,,10352.0,,,,,,,,
10710,New York,,,25855.0,,,,,,,,
10801,New York,,,42754.0,,,,,,,,
10803,New York,,,13072.0,,,,,,,,
10804,New York,,,16108.0,,,,,,,,
10805,New York,,,20903.0,,,,,,,,
10901,New York,,,27095.0,,,,,,,,
10910,New York,,,0.0,,,,,,,,
10911,New York,,,0.0,,,,,,,,
10913,New York,,,5343.0,,,,,,,,
10914,New York,,,1205.0,,,,,,,,
10915,New York,,,0.0,,,,,,,,
10916,New York,,,4238.0,,,,,,,,
10917,New York,,,1923.0,,,,,,,,
10918,New York,,,12069.0,,,,,,,,
10919,New York,,,1551.0,,,,,,,,
10920,New York,,,8451.0,,,,,,,,
10921,New York,,,4231.0,,,,,,,,
10922,New York,,,1403.0,,,,,,,,
10923,New York,,,9069.0,,,,,,,,
10924,New York,,,13720.0,,,,,,,,
10925,New York,,,4313.0,,,,,,,,
10926,New York,,,3416.0,,,,,,,,
10927,New York,,,12325.0,,,,,,,,
10928,New York,,,5071.0,,,,,,,,
10930,New York,,,9569.0,,,,,,,,
10931,New York,,,1319.0,,,,,,,,
10932,New York,,,13.0,,,,,,,,
10933,New York,,,117.0,,,,,,,,
10940,New York,,,53611.0,,,,,,,,
10941,New York,,,14422.0,,,,,,,,
10950,New York,,,68136.0,,,,,,,,
10952,New York,,,48019.0,,,,,,,,
10953,New York,,,22.0,,,,,,,,
10954,New York,,,26495.0,,,,,,,,
10956,New York,,,31898.0,,,,,,,,
10958,New York,,,3054.0,,,,,,,,
10960,New York,,,15251.0,,,,,,,,
10962,New York,,,4767.0,,,,,,,,
10963,New York,,,3842.0,,,,,,,,
10964,New York,,,1333.0,,,,,,,,
10965,New York,,,15206.0,,,,,,,,
10968,New York,,,2456.0,,,,,,,,
10969,New York,,,1150.0,,,,,,,,
10970,New York,,,11497.0,,,,,,,,
10973,New York,,,2358.0,,,,,,,,
10974,New York,,,3382.0,,,,,,,,
10975,New York,,,246.0,,,,,,,,
10976,New York,,,2002.0,,,,,,,,
10977,New York,,,71571.0,,,,,,,,
10979,New York,,,222.0,,,,,,,,
10980,New York,,,13414.0,,,,,,,,
10983,New York,,,5934.0,,,,,,,,
10984,New York,,,2805.0,,,,,,,,
10985,New York,,,17.0,,,,,,,,
10986,New York,,,1806.0,,,,,,,,
10987,New York,,,4411.0,,,,,,,,
10988,New York,,,695.0,,,,,,,,
10989,New York,,,9187.0,,,,,,,,
10990,New York,,,20368.0,,,,,,,,
10992,New York,,,9843.0,,,,,,,,
10993,New York,,,4888.0,,,,,,,,
10994,New York,,,6370.0,,,,,,,,
10996,New York,,,6349.0,,,,,,,,
10998,New York,,,3889.0,,,,,,,,
11001,New York,,,25493.0,,,,,,,,
11003,New York,,,45174.0,,,,,,,,
11004,New York,,,13615.0,,,,,,,,
11005,New York,,,2174.0,,,,,,,,
11010,New York,,,25604.0,,,,,,,,
11020,New York,,,5676.0,,,,,,,,
11021,New York,,,19783.0,,,,,,,,
