zipcode,month,total_rat_sightings,mature_rat_sightings,resolved_within_30_days,not_resolved_within_30_days,percent_resolved_within_30_days,median_resolution_days,average_resolution_days,p90_resolution_days,represented_inspections,inspected_restaurants,inspections_with_04k,percent_inspections_with_04k
10001,2025-01-01T00:00:00.000Z,2,2,2,0,100.00,0.0,0.00,0.00,39,39,1,2.56
10001,2025-02-01T00:00:00.000Z,2,2,2,0,100.00,1.19,1.19,1.42,17,15,1,5.88
10001,2025-03-01T00:00:00.000Z,1,1,1,0,100.00,0.0,0.00,0.00,30,29,0,0.00
10001,2025-04-01T00:00:00.000Z,2,2,2,0,100.00,0.0,0.00,0.00,47,46,0,0.00
10001,2025-05-01T00:00:00.000Z,2,2,2,0,100.00,0.0,0.00,0.00,43,40,0,0.00
10001,2025-06-01T00:00:00.000Z,2,2,2,0,100.00,0.0,0.00,0.00,45,45,0,0.00
10001,2025-07-01T00:00:00.000Z,3,3,3,0,100.00,0.0,0.00,0.00,55,55,1,1.82
10001,2025-08-01T00:00:00.000Z,2,2,2,0,100.00,0.19,0.19,0.38,49,48,1,2.04
10001,2025-09-01T00:00:00.000Z,8,8,8,0,100.00,0.0,0.30,1.88,61,61,0,0.00
10001,2025-10-01T00:00:00.000Z,1,1,1,0,100.00,0.0,0.00,0.00,49,47,4,8.16
10001,2025-11-01T00:00:00.000Z,1,1,1,0,100.00,0.0,0.00,0.00,45,45,2,4.44
10001,2025-12-01T00:00:00.000Z,null,null,null,null,null,null,null,null,71,70,0,0.00
10001,2026-01-01T00:00:00.000Z,null,null,null,null,null,null,null,null,34,34,0,0.00
10001,2026-02-01T00:00:00.000Z,2,2,2,0,100.00,0.0,0.00,0.00,30,30,0,0.00
10001,2026-03-01T00:00:00.000Z,3,3,3,0,100.00,0.0,0.65,1.96,44,43,0,0.00
10001,2026-04-01T00:00:00.000Z,3,3,3,0,100.00,0.83,7.19,20.75,72,70,1,1.39
10001,2026-05-01T00:00:00.000Z,1,1,1,0,100.00,13.04,13.04,13.04,35,35,0,0.00
10001,2026-06-01T00:00:00.000Z,null,null,null,null,null,null,null,null,29,27,0,0.00
10001,2026-07-01T00:00:00.000Z,2,2,1,1,50.00,34.02,34.02,38.25,62,61,0,0.00
10001,2026-08-01T00:00:00.000Z,2,0,0,0,null,null,null,null,71,70,1,1.41
10001,2026-09-01T00:00:00.000Z,1,0,0,0,null,null,null,null,27,26,0,0.00
10002,2025-01-01T00:00:00.000Z,10,10,10,0,100.00,0.17,0.83,2.50,41,41,3,7.32
10002,2025-02-01T00:00:00.000Z,7,7,6,1,85.71,0.54,12.12,54.13,23,23,1,4.35
10002,2025-03-01T00:00:00.000Z,10,10,10,0,100.00,0.17,2.00,2.38,34,34,6,17.65
10002,2025-04-01T00:00:00.000Z,6,6,6,0,100.00,0.0,0.44,2.67,49,49,3,6.12
10002,2025-05-01T00:00:00.000Z,19,19,19,0,100.00,0.33,1.50,7.29,68,67,4,5.88
10002,2025-06-01T00:00:00.000Z,22,22,22,0,100.00,0.1,0.49,1.29,34,33,0,0.00
10002,2025-07-01T00:00:00.000Z,8,8,8,0,100.00,0.0,0.34,1.54,38,37,2,5.26
10002,2025-08-01T00:00:00.000Z,5,5,5,0,100.00,0.0,0.02,0.08,49,48,3,6.12
10002,2025-09-01T00:00:00.000Z,10,10,10,0,100.00,0.0,0.56,2.46,52,48,4,7.69
10002,2025-10-01T00:00:00.000Z,8,8,8,0,100.00,0.48,0.39,0.92,41,39,3,7.32
10002,2025-11-01T00:00:00.000Z,5,5,5,0,100.00,0.0,1.14,3.96,46,45,1,2.17
10002,2025-12-01T00:00:00.000Z,9,9,9,0,100.00,0.42,1.01,4.88,33,33,1,3.03
10002,2026-01-01T00:00:00.000Z,25,25,25,0,100.00,0.29,0.53,1.04,24,24,0,0.00
10002,2026-02-01T00:00:00.000Z,3,3,3,0,100.00,0.0,0.65,1.96,35,35,2,5.71
10002,2026-03-01T00:00:00.000Z,9,9,9,0,100.00,0.29,0.51,2.25,44,43,1,2.27
10002,2026-04-01T00:00:00.000Z,11,11,11,0,100.00,0.0,3.11,10.79,39,37,2,5.13
10002,2026-05-01T00:00:00.000Z,13,13,13,0,100.00,6.08,6.46,16.04,43,42,1,2.33
10002,2026-06-01T00:00:00.000Z,9,9,8,1,88.89,4.27,4.86,10.79,57,57,2,3.51
10002,2026-07-01T00:00:00.000Z,11,11,10,1,90.91,6.85,8.50,17.21,62,56,3,4.84
10002,2026-08-01T00:00:00.000Z,10,5,5,0,100.00,22.0,18.41,25.92,57,52,4,7.02
10002,2026-09-01T00:00:00.000Z,5,0,0,0,null,null,null,null,24,24,0,0.00
10003,2025-01-01T00:00:00.000Z,7,7,7,0,100.00,0.0,0.28,1.42,42,40,1,2.38
10003,2025-02-01T00:00:00.000Z,7,7,7,0,100.00,0.0,0.24,0.63,36,36,2,5.56
10003,2025-03-01T00:00:00.000Z,10,10,10,0,100.00,0.0,0.45,0.67,43,40,3,6.98
10003,2025-04-01T00:00:00.000Z,9,9,9,0,100.00,0.0,0.18,0.88,51,51,1,1.96
10003,2025-05-01T00:00:00.000Z,19,19,19,0,100.00,0.0,1.55,6.63,57,55,0,0.00
10003,2025-06-01T00:00:00.000Z,19,19,19,0,100.00,0.29,1.26,5.50,30,30,0,0.00
10003,2025-07-01T00:00:00.000Z,18,18,18,0,100.00,0.06,1.95,7.21,51,51,0,0.00
10003,2025-08-01T00:00:00.000Z,12,12,11,1,91.67,0.04,3.69,0.88,44,43,1,2.27
10003,2025-09-01T00:00:00.000Z,22,22,22,0,100.00,0.0,0.50,2.21,50,50,1,2.00
10003,2025-10-01T00:00:00.000Z,20,20,20,0,100.00,0.0,0.73,3.17,43,43,0,0.00
10003,2025-11-01T00:00:00.000Z,9,9,9,0,100.00,0.0,1.45,6.75,61,60,2,3.28
10003,2025-12-01T00:00:00.000Z,25,25,25,0,100.00,0.0,1.07,2.92,57,57,2,3.51
10003,2026-01-01T00:00:00.000Z,22,22,22,0,100.00,0.79,1.26,3.13,37,37,1,2.70
10003,2026-02-01T00:00:00.000Z,21,21,21,0,100.00,0.75,0.83,1.96,29,28,2,6.90
10003,2026-03-01T00:00:00.000Z,37,37,37,0,100.00,0.17,0.40,0.79,55,53,1,1.82
10003,2026-04-01T00:00:00.000Z,24,24,23,1,95.83,0.83,5.75,23.71,56,54,1,1.79
10003,2026-05-01T00:00:00.000Z,31,31,30,1,96.77,3.75,5.97,13.33,54,51,2,3.70
10003,2026-06-01T00:00:00.000Z,21,21,20,1,95.24,3.08,4.39,10.21,69,68,2,2.90
10003,2026-07-01T00:00:00.000Z,17,17,16,1,94.12,4.42,10.95,27.88,72,72,1,1.39
10003,2026-08-01T00:00:00.000Z,22,14,13,1,92.86,4.92,10.63,22.33,54,51,4,7.41
10003,2026-09-01T00:00:00.000Z,5,0,0,0,null,null,null,null,31,30,0,0.00
10004,2025-01-01T00:00:00.000Z,1,1,1,0,100.00,0.0,0.00,0.00,16,16,0,0.00
10004,2025-02-01T00:00:00.000Z,1,1,1,0,100.00,0.0,0.00,0.00,6,6,0,0.00
10004,2025-03-01T00:00:00.000Z,null,null,null,null,null,null,null,null,4,4,0,0.00
10004,2025-04-01T00:00:00.000Z,null,null,null,null,null,null,null,null,16,15,0,0.00
10004,2025-05-01T00:00:00.000Z,3,3,3,0,100.00,0.25,1.57,4.46,8,8,0,0.00
10004,2025-06-01T00:00:00.000Z,null,null,null,null,null,null,null,null,10,10,0,0.00
10004,2025-07-01T00:00:00.000Z,null,null,null,null,null,null,null,null,11,11,0,0.00
10004,2025-08-01T00:00:00.000Z,1,1,1,0,100.00,7.71,7.71,7.71,6,6,0,0.00
10004,2025-09-01T00:00:00.000Z,null,null,null,null,null,null,null,null,10,10,0,0.00
10004,2025-10-01T00:00:00.000Z,2,2,2,0,100.00,0.0,0.00,0.00,16,16,1,6.25
10004,2025-11-01T00:00:00.000Z,1,1,1,0,100.00,0.0,0.00,0.00,5,5,1,20.00
10004,2025-12-01T00:00:00.000Z,null,null,null,null,null,null,null,null,15,15,0,0.00
10004,2026-01-01T00:00:00.000Z,1,1,1,0,100.00,0.0,0.00,0.00,9,8,0,0.00
10004,2026-02-01T00:00:00.000Z,3,3,3,0,100.00,0.0,0.22,0.67,1,1,0,0.00
10004,2026-03-01T00:00:00.000Z,1,1,1,0,100.00,0.0,0.00,0.00,13,13,0,0.00
10004,2026-04-01T00:00:00.000Z,2,2,2,0,100.00,11.02,11.02,21.13,15,14,1,6.67
10004,2026-05-01T00:00:00.000Z,3,3,1,2,33.33,44.04,46.46,68.29,11,11,1,9.09
10004,2026-06-01T00:00:00.000Z,5,5,3,2,60.00,16.75,20.51,47.33,13,13,0,0.00
10004,2026-07-01T00:00:00.000Z,null,null,null,null,null,null,null,null,15,14,0,0.00
10004,2026-08-01T00:00:00.000Z,null,null,null,null,null,null,null,null,15,15,1,6.67
10004,2026-09-01T00:00:00.000Z,null,null,null,null,null,null,null,null,3,3,0,0.00
10005,2025-01-01T00:00:00.000Z,null,null,null,null,null,null,null,null,4,4,0,0.00
10005,2025-02-01T00:00:00.000Z,1,1,1,0,100.00,2.54,2.54,2.54,10,10,0,0.00
10005,2025-03-01T00:00:00.000Z,1,1,1,0,100.00,0.0,0.00,0.00,5,5,0,0.00
10005,2025-04-01T00:00:00.000Z,2,2,2,0,100.00,0.0,0.00,0.00,null,null,null,null
10005,2025-05-01T00:00:00.000Z,2,2,2,0,100.00,0.0,0.00,0.00,6,6,0,0.00
10005,2025-06-01T00:00:00.000Z,1,1,1,0,100.00,0.0,0.00,0.00,null,null,null,null
10005,2025-07-01T00:00:00.000Z,1,1,1,0,100.00,0.0,0.00,0.00,5,5,0,0.00
10005,2025-08-01T00:00:00.000Z,null,null,null,null,null,null,null,null,4,4,0,0.00
10005,2025-09-01T00:00:00.000Z,1,1,1,0,100.00,0.0,0.00,0.00,5,5,0,0.00
10005,2025-10-01T00:00:00.000Z,2,2,2,0,100.00,2.73,2.73,5.46,5,5,0,0.00
10005,2025-11-01T00:00:00.000Z,null,null,null,null,null,null,null,null,3,3,0,0.00
10005,2025-12-01T00:00:00.000Z,1,1,1,0,100.00,0.0,0.00,0.00,11,11,1,9.09
10005,2026-01-01T00:00:00.000Z,null,null,null,null,null,null,null,null,3,3,0,0.00
10005,2026-02-01T00:00:00.000Z,null,null,null,null,null,null,null,null,3,3,0,0.00
10005,2026-03-01T00:00:00.000Z,null,null,null,null,null,null,null,null,2,2,0,0.00
10005,2026-04-01T00:00:00.000Z,1,1,1,0,100.00,10.29,10.29,10.29,8,8,0,0.00
10005,2026-05-01T00:00:00.000Z,1,1,1,0,100.00,20.21,20.21,20.21,1,1,0,0.00
10005,2026-06-01T00:00:00.000Z,null,null,null,null,null,null,null,null,8,8,0,0.00
10005,2026-07-01T00:00:00.000Z,1,1,0,1,0.00,null,null,null,5,5,0,0.00
10005,2026-08-01T00:00:00.000Z,1,0,0,0,null,null,null,null,13,13,1,7.69
10006,2025-01-01T00:00:00.000Z,2,2,2,0,100.00,0.0,0.00,0.00,4,4,0,0.00
10006,2025-02-01T00:00:00.000Z,null,null,null,null,null,null,null,null,5,5,0,0.00
10006,2025-03-01T00:00:00.000Z,1,1,1,0,100.00,0.0,0.00,0.00,3,3,0,0.00
10006,2025-04-01T00:00:00.000Z,null,null,null,null,null,null,null,null,5,5,0,0.00
10006,2025-06-01T00:00:00.000Z,2,2,2,0,100.00,0.0,0.00,0.00,3,3,0,0.00
10006,2025-07-01T00:00:00.000Z,2,2,2,0,100.00,0.0,0.00,0.00,9,9,0,0.00
10006,2025-08-01T00:00:00.000Z,1,1,1,0,100.00,0.0,0.00,0.00,1,1,0,0.00
10006,2025-09-01T00:00:00.000Z,null,null,null,null,null,null,null,null,5,5,0,0.00
10006,2025-10-01T00:00:00.000Z,null,null,null,null,null,null,null,null,3,3,0,0.00
10006,2025-11-01T00:00:00.000Z,1,1,1,0,100.00,16.46,16.46,16.46,1,1,0,0.00
10006,2025-12-01T00:00:00.000Z,null,null,null,null,null,null,null,null,3,3,0,0.00
10006,2026-02-01T00:00:00.000Z,null,null,null,null,null,null,null,null,2,2,0,0.00
10006,2026-03-01T00:00:00.000Z,1,1,1,0,100.00,0.0,0.00,0.00,4,4,0,0.00
10006,2026-04-01T00:00:00.000Z,null,null,null,null,null,null,null,null,7,7,0,0.00
10006,2026-05-01T00:00:00.000Z,null,null,null,null,null,null,null,null,3,3,0,0.00
10006,2026-07-01T00:00:00.000Z,null,null,null,null,null,null,null,null,3,3,0,0.00
10006,2026-08-01T00:00:00.000Z,null,null,null,null,null,null,null,null,3,3,0,0.00
10006,2026-09-01T00:00:00.000Z,null,null,null,null,null,null,null,null,1,1,0,0.00
10007,2025-01-01T00:00:00.000Z,null,null,null,null,null,null,null,null,15,15,1,6.67
10007,2025-02-01T00:00:00.000Z,1,1,1,0,100.00,0.0,0.00,0.00,16,16,0,0.00
10007,2025-03-01T00:00:00.000Z,null,null,null,null,null,null,null,null,12,12,0,0.00
10007,2025-04-01T00:00:00.000Z,2,2,2,0,100.00,0.0,0.00,0.00,10,10,1,10.00
10007,2025-05-01T00:00:00.000Z,3,3,3,0,100.00,0.0,3.29,9.88,18,18,1,5.56
10007,2025-06-01T00:00:00.000Z,null,null,null,null,null,null,null,null,8,8,0,0.00
10007,2025-07-01T00:00:00.000Z,1,1,1,0,100.00,0.0,0.00,0.00,14,13,0,0.00
10007,2025-08-01T00:00:00.000Z,2,2,1,1,50.00,59.27,59.27,118.54,5,5,0,0.00
10007,2025-09-01T00:00:00.000Z,2,2,2,0,100.00,0.0,0.00,0.00,15,15,0,0.00
10007,2025-10-01T00:00:00.000Z,1,1,1,0,100.00,0.0,0.00,0.00,10,9,0,0.00
10007,2025-11-01T00:00:00.000Z,1,1,1,0,100.00,0.0,0.00,0.00,13,13,0,0.00
10007,2025-12-01T00:00:00.000Z,2,2,2,0,100.00,0.0,0.00,0.00,14,14,0,0.00
10007,2026-01-01T00:00:00.000Z,null,null,null,null,null,null,null,null,6,6,0,0.00
10007,2026-02-01T00:00:00.000Z,null,null,null,null,null,null,null,null,11,9,0,0.00
10007,2026-03-01T00:00:00.000Z,null,null,null,null,null,null,null,null,19,19,0,0.00
10007,2026-04-01T00:00:00.000Z,4,4,2,2,50.00,22.0,29.04,48.17,13,13,0,0.00
10007,2026-05-01T00:00:00.000Z,2,2,2,0,100.00,6.98,6.98,12.17,22,22,0,0.00
10007,2026-06-01T00:00:00.000Z,null,null,null,null,null,null,null,null,12,12,0,0.00
10007,2026-07-01T00:00:00.000Z,1,1,1,0,100.00,15.25,15.25,15.25,19,17,1,5.26
10007,2026-08-01T00:00:00.000Z,null,null,null,null,null,null,null,null,8,8,0,0.00
10007,2026-09-01T00:00:00.000Z,null,null,null,null,null,null,null,null,5,5,0,0.00
10009,2025-01-01T00:00:00.000Z,13,13,13,0,100.00,0.0,0.16,0.50,23,23,7,30.43
10009,2025-02-01T00:00:00.000Z,11,11,11,0,100.00,0.21,0.70,2.08,16,16,0,0.00
10009,2025-03-01T00:00:00.000Z,9,9,9,0,100.00,0.0,0.11,0.50,20,20,1,5.00
10009,2025-04-01T00:00:00.000Z,13,13,13,0,100.00,0.0,0.31,0.88,29,24,0,0.00
10009,2025-05-01T00:00:00.000Z,14,14,14,0,100.00,0.42,0.67,1.75,20,20,0,0.00
10009,2025-06-01T00:00:00.000Z,16,16,16,0,100.00,0.0,0.38,1.67,23,23,1,4.35
10009,2025-07-01T00:00:00.000Z,18,18,18,0,100.00,0.0,0.18,0.88,25,25,1,4.00
10009,2025-08-01T00:00:00.000Z,19,19,19,0,100.00,0.0,1.94,3.00,22,22,1,4.55
10009,2025-09-01T00:00:00.000Z,22,22,22,0,100.00,0.15,0.79,2.63,18,17,1,5.56
10009,2025-10-01T00:00:00.000Z,17,17,17,0,100.00,0.5,1.75,9.50,17,16,4,23.53
10009,2025-11-01T00:00:00.000Z,12,12,12,0,100.00,0.0,1.12,4.63,25,25,3,12.00
10009,2025-12-01T00:00:00.000Z,9,9,9,0,100.00,0.0,2.71,15.42,33,33,0,0.00
10009,2026-01-01T00:00:00.000Z,7,7,7,0,100.00,0.71,0.77,2.50,19,18,1,5.26
10009,2026-02-01T00:00:00.000Z,7,7,7,0,100.00,0.0,0.64,2.38,11,11,0,0.00
10009,2026-03-01T00:00:00.000Z,18,18,18,0,100.00,0.65,1.00,3.50,14,14,0,0.00
10009,2026-04-01T00:00:00.000Z,19,19,18,1,94.74,3.56,4.71,11.83,28,27,1,3.57
10009,2026-05-01T00:00:00.000Z,19,19,19,0,100.00,2.88,4.83,12.00,14,14,3,21.43
10009,2026-06-01T00:00:00.000Z,15,15,15,0,100.00,3.79,5.22,9.92,24,24,0,0.00
10009,2026-07-01T00:00:00.000Z,15,15,14,1,93.33,8.83,9.46,18.75,26,25,1,3.85
10009,2026-08-01T00:00:00.000Z,21,11,11,0,100.00,4.04,4.46,4.38,25,25,1,4.00
10009,2026-09-01T00:00:00.000Z,11,0,0,0,null,null,null,null,7,7,0,0.00
10010,2025-01-01T00:00:00.000Z,6,6,6,0,100.00,0.0,1.58,5.75,21,21,0,0.00
10010,2025-02-01T00:00:00.000Z,2,2,2,0,100.00,2.81,2.81,5.63,7,7,0,0.00
10010,2025-03-01T00:00:00.000Z,5,5,5,0,100.00,0.0,0.58,1.83,17,15,0,0.00
10010,2025-04-01T00:00:00.000Z,5,5,5,0,100.00,2.46,2.52,5.88,19,19,0,0.00
10010,2025-05-01T00:00:00.000Z,7,7,7,0,100.00,0.5,2.15,6.92,12,11,0,0.00
10010,2025-06-01T00:00:00.000Z,17,17,17,0,100.00,0.0,0.57,1.88,10,10,0,0.00
10010,2025-07-01T00:00:00.000Z,6,6,6,0,100.00,0.0,0.83,5.00,24,20,3,12.50
10010,2025-08-01T00:00:00.000Z,3,3,3,0,100.00,0.0,0.00,0.00,24,23,0,0.00
10010,2025-09-01T00:00:00.000Z,7,7,7,0,100.00,0.0,2.24,8.04,28,28,2,7.14
10010,2025-10-01T00:00:00.000Z,7,7,7,0,100.00,0.0,1.76,9.79,24,21,0,0.00
10010,2025-11-01T00:00:00.000Z,3,3,3,0,100.00,2.46,2.11,3.88,22,22,2,9.09
10010,2025-12-01T00:00:00.000Z,1,1,1,0,100.00,0.0,0.00,0.00,22,22,1,4.55
10010,2026-01-01T00:00:00.000Z,5,5,5,0,100.00,0.0,0.87,3.63,24,23,0,0.00
10010,2026-02-01T00:00:00.000Z,null,null,null,null,null,null,null,null,21,21,0,0.00
10010,2026-03-01T00:00:00.000Z,3,3,3,0,100.00,0.96,0.92,1.79,16,16,0,0.00
10010,2026-04-01T00:00:00.000Z,4,4,4,0,100.00,23.6,23.08,23.92,27,27,0,0.00
10010,2026-05-01T00:00:00.000Z,5,5,5,0,100.00,7.29,7.23,16.08,18,17,0,0.00
10010,2026-06-01T00:00:00.000Z,2,2,1,1,50.00,27.17,27.17,42.17,21,21,0,0.00
10010,2026-07-01T00:00:00.000Z,6,6,5,1,83.33,19.94,20.53,36.96,22,20,0,0.00
10010,2026-08-01T00:00:00.000Z,4,1,1,0,100.00,12.96,12.96,12.96,28,25,1,3.57
10010,2026-09-01T00:00:00.000Z,3,0,0,0,null,null,null,null,9,9,0,0.00
10011,2025-01-01T00:00:00.000Z,10,10,10,0,100.00,0.6,0.74,1.71,28,27,0,0.00
10011,2025-02-01T00:00:00.000Z,7,7,7,0,100.00,0.04,0.32,0.92,23,23,0,0.00
10011,2025-03-01T00:00:00.000Z,6,6,6,0,100.00,0.5,0.59,1.71,24,23,0,0.00
10011,2025-04-01T00:00:00.000Z,7,7,7,0,100.00,0.0,0.55,1.92,31,30,0,0.00
10011,2025-05-01T00:00:00.000Z,8,8,8,0,100.00,0.25,0.68,2.42,31,30,1,3.23
10011,2025-06-01T00:00:00.000Z,9,9,9,0,100.00,0.17,1.10,6.50,18,18,0,0.00
10011,2025-07-01T00:00:00.000Z,6,6,6,0,100.00,0.0,0.92,5.38,28,28,1,3.57
10011,2025-08-01T00:00:00.000Z,15,15,15,0,100.00,0.25,0.68,2.67,37,35,1,2.70
10011,2025-09-01T00:00:00.000Z,9,9,9,0,100.00,0.54,0.88,2.75,21,21,0,0.00
10011,2025-10-01T00:00:00.000Z,6,6,5,1,83.33,0.0,10.27,60.58,30,29,1,3.33
10011,2025-11-01T00:00:00.000Z,3,3,3,0,100.00,0.0,0.67,2.00,29,27,0,0.00
10011,2025-12-01T00:00:00.000Z,2,2,2,0,100.00,1.56,1.56,3.13,41,40,0,0.00
10011,2026-01-01T00:00:00.000Z,4,4,4,0,100.00,0.0,0.00,0.00,38,38,0,0.00
10011,2026-02-01T00:00:00.000Z,2,2,2,0,100.00,0.0,0.00,0.00,27,26,1,3.70
10011,2026-03-01T00:00:00.000Z,7,7,7,0,100.00,0.0,0.25,1.75,40,39,0,0.00
10011,2026-04-01T00:00:00.000Z,7,7,7,0,100.00,5.13,8.70,27.54,57,57,0,0.00
10011,2026-05-01T00:00:00.000Z,8,8,8,0,100.00,8.1,9.52,21.08,33,33,0,0.00
10011,2026-06-01T00:00:00.000Z,5,5,4,1,80.00,14.83,18.87,50.33,28,28,0,0.00
10011,2026-07-01T00:00:00.000Z,7,7,4,3,57.14,12.88,20.24,48.21,37,33,1,2.70
10011,2026-08-01T00:00:00.000Z,13,8,6,2,75.00,12.13,11.39,17.29,35,35,0,0.00
10011,2026-09-01T00:00:00.000Z,3,0,0,0,null,null,null,null,25,25,1,4.00
10012,2025-01-01T00:00:00.000Z,5,5,5,0,100.00,1.79,2.10,6.08,27,27,2,7.41
10012,2025-02-01T00:00:00.000Z,5,5,5,0,100.00,0.0,0.20,0.54,25,25,1,4.00
10012,2025-03-01T00:00:00.000Z,8,8,8,0,100.00,0.46,0.74,3.13,28,28,0,0.00
10012,2025-04-01T00:00:00.000Z,9,9,9,0,100.00,0.0,0.11,0.58,23,23,1,4.35
10012,2025-05-01T00:00:00.000Z,3,3,3,0,100.00,0.0,0.94,2.83,37,34,1,2.70
10012,2025-06-01T00:00:00.000Z,4,4,4,0,100.00,0.31,0.81,2.63,15,15,1,6.67
10012,2025-07-01T00:00:00.000Z,7,7,7,0,100.00,0.0,0.18,0.75,49,45,2,4.08
10012,2025-08-01T00:00:00.000Z,14,14,14,0,100.00,0.92,1.26,3.58,37,37,1,2.70
10012,2025-09-01T00:00:00.000Z,5,5,5,0,100.00,0.0,0.56,1.92,32,29,0,0.00
10012,2025-10-01T00:00:00.000Z,3,3,3,0,100.00,0.0,0.29,0.88,38,38,1,2.63
10012,2025-11-01T00:00:00.000Z,2,2,2,0,100.00,0.0,0.00,0.00,31,31,0,0.00
10012,2025-12-01T00:00:00.000Z,3,3,3,0,100.00,0.21,0.99,2.75,37,37,0,0.00
10012,2026-01-01T00:00:00.000Z,null,null,null,null,null,null,null,null,29,29,2,6.90
10012,2026-02-01T00:00:00.000Z,1,1,1,0,100.00,0.0,0.00,0.00,26,25,0,0.00
10012,2026-03-01T00:00:00.000Z,1,1,1,0,100.00,0.0,0.00,0.00,49,48,1,2.04
10012,2026-04-01T00:00:00.000Z,7,7,5,2,71.43,16.25,20.38,45.79,40,39,2,5.00
10012,2026-05-01T00:00:00.000Z,7,7,7,0,100.00,15.46,11.28,21.00,40,39,3,7.50
10012,2026-06-01T00:00:00.000Z,4,4,4,0,100.00,13.1,13.34,24.83,37,36,2,5.41
10012,2026-07-01T00:00:00.000Z,15,15,13,2,86.67,4.38,11.64,37.88,48,44,1,2.08
10012,2026-08-01T00:00:00.000Z,4,3,3,0,100.00,17.08,16.83,28.04,29,29,0,0.00
10012,2026-09-01T00:00:00.000Z,3,0,0,0,null,null,null,null,21,21,0,0.00
10013,2025-01-01T00:00:00.000Z,1,1,1,0,100.00,3.08,3.08,3.08,40,36,6,15.00
10013,2025-02-01T00:00:00.000Z,4,4,4,0,100.00,0.69,1.24,3.58,28,28,0,0.00
10013,2025-03-01T00:00:00.000Z,6,6,6,0,100.00,0.56,0.79,1.63,29,29,4,13.79
10013,2025-04-01T00:00:00.000Z,2,2,2,0,100.00,0.98,0.98,1.96,50,50,4,8.00
10013,2025-05-01T00:00:00.000Z,4,4,4,0,100.00,0.0,0.96,3.83,68,64,4,5.88
10013,2025-06-01T00:00:00.000Z,6,6,6,0,100.00,0.0,0.22,1.08,32,30,1,3.13
10013,2025-07-01T00:00:00.000Z,3,3,3,0,100.00,0.0,0.51,1.54,43,43,1,2.33
10013,2025-08-01T00:00:00.000Z,4,4,4,0,100.00,0.0,0.00,0.00,44,42,4,9.09
10013,2025-09-01T00:00:00.000Z,6,6,6,0,100.00,0.0,0.14,0.83,34,30,3,8.82
10013,2025-10-01T00:00:00.000Z,3,3,3,0,100.00,0.5,1.69,4.58,48,48,1,2.08
10013,2025-11-01T00:00:00.000Z,14,14,14,0,100.00,1.83,1.58,2.75,29,28,1,3.45
10013,2025-12-01T00:00:00.000Z,1,1,1,0,100.00,3.75,3.75,3.75,37,37,1,2.70
10013,2026-01-01T00:00:00.000Z,6,6,6,0,100.00,0.0,0.41,2.46,37,36,3,8.11
10013,2026-02-01T00:00:00.000Z,2,2,2,0,100.00,0.0,0.00,0.00,23,22,3,13.04
10013,2026-03-01T00:00:00.000Z,2,2,2,0,100.00,0.04,0.04,0.08,54,52,2,3.70
10013,2026-04-01T00:00:00.000Z,2,2,2,0,100.00,24.38,24.38,25.08,72,67,6,8.33
10013,2026-05-01T00:00:00.000Z,13,13,12,1,92.31,5.13,12.67,30.13,79,74,4,5.06
10013,2026-06-01T00:00:00.000Z,8,8,8,0,100.00,4.44,5.40,11.08,34,32,1,2.94
10013,2026-07-01T00:00:00.000Z,2,2,2,0,100.00,20.13,20.13,21.08,50,47,2,4.00
10013,2026-08-01T00:00:00.000Z,1,1,1,0,100.00,4.17,4.17,4.17,45,45,2,4.44
10013,2026-09-01T00:00:00.000Z,3,0,0,0,null,null,null,null,33,33,0,0.00
10014,2025-01-01T00:00:00.000Z,7,7,7,0,100.00,0.0,1.05,3.71,24,23,1,4.17
10014,2025-02-01T00:00:00.000Z,5,5,5,0,100.00,0.63,0.47,0.88,34,34,1,2.94
10014,2025-03-01T00:00:00.000Z,4,4,4,0,100.00,1.08,1.08,1.42,16,16,1,6.25
10014,2025-04-01T00:00:00.000Z,9,9,9,0,100.00,0.0,0.19,0.79,29,29,0,0.00
10014,2025-05-01T00:00:00.000Z,4,4,4,0,100.00,0.0,0.00,0.00,20,20,0,0.00
10014,2025-06-01T00:00:00.000Z,15,15,15,0,100.00,0.0,0.20,0.79,24,22,0,0.00
10014,2025-07-01T00:00:00.000Z,3,3,3,0,100.00,0.0,0.01,0.04,42,40,1,2.38
10014,2025-08-01T00:00:00.000Z,2,2,2,0,100.00,0.0,0.00,0.00,22,22,0,0.00
10014,2025-09-01T00:00:00.000Z,1,1,1,0,100.00,0.0,0.00,0.00,27,26,3,11.11
10014,2025-10-01T00:00:00.000Z,5,5,5,0,100.00,0.0,0.00,0.00,31,28,0,0.00
10014,2025-11-01T00:00:00.000Z,5,5,5,0,100.00,0.0,0.36,1.79,23,22,1,4.35
10014,2025-12-01T00:00:00.000Z,7,7,7,0,100.00,0.38,1.40,3.58,43,43,3,6.98
10014,2026-01-01T00:00:00.000Z,4,4,4,0,100.00,0.0,0.00,0.00,21,21,0,0.00
10014,2026-02-01T00:00:00.000Z,5,5,5,0,100.00,0.0,0.57,2.29,27,27,1,3.70
10014,2026-03-01T00:00:00.000Z,4,4,4,0,100.00,0.0,0.68,2.71,50,47,1,2.00
10014,2026-04-01T00:00:00.000Z,7,7,5,2,71.43,1.46,11.17,38.92,45,44,2,4.44
