zipcode,total_rat_sightings,represented_inspections,inspected_restaurants,inspections_with_04k,percent_inspections_with_04k,complaint_percentile,inspection_evidence_percentile,potential_underreporting_score,interpretation
11101,184,660,360,11,1.67,64.2,27.4,-36.9,Datasets broadly similar
11385,555,525,313,17,3.24,95,58.1,-36.9,Datasets broadly similar
10027,615,277,161,9,3.25,95.5,58.7,-36.9,Datasets broadly similar
11374,223,145,86,3,2.07,72.1,35.2,-36.9,Datasets broadly similar
11215,523,539,338,17,3.15,94.4,57,-37.4,Datasets broadly similar
10003,377,1022,622,27,2.64,86.6,49.2,-37.4,Datasets broadly similar
10023,286,301,193,7,2.33,79.3,41.3,-38,Datasets broadly similar
11201,193,716,446,12,1.68,66.5,27.9,-38.5,Datasets broadly similar
11105,321,248,146,6,2.42,83.2,44.1,-39.1,Datasets broadly similar
10304,98,77,43,0,0.00,39.7,0,-39.7,Datasets broadly similar
10463,344,214,122,5,2.34,84.4,42.5,-41.9,Reporting exceeds restaurant evidence
11106,220,300,176,4,1.33,70.4,24.6,-45.8,Reporting exceeds restaurant evidence
11367,122,59,37,0,0.00,46.4,0,-46.4,Reporting exceeds restaurant evidence
11209,408,404,257,9,2.23,88.3,38,-50.3,Reporting exceeds restaurant evidence
10028,345,322,199,6,1.86,84.9,31.8,-53.1,Reporting exceeds restaurant evidence
10312,151,100,71,0,0.00,54.7,0,-54.7,Reporting exceeds restaurant evidence
11379,160,61,40,0,0.00,58.7,0,-58.7,Reporting exceeds restaurant evidence
10039,240,31,18,0,0.00,73.7,0,-73.7,Reporting exceeds restaurant evidence
