zipcode,total_rat_sightings,mature_rat_sightings,closed_rat_sightings,median_resolution_days,average_resolution_days,avg_p90_resolution_days,resolved_within_30_days,not_resolved_within_30_days,avg_percent_unresolved_within_30_days,represented_inspections,inspected_restaurants,inspections_with_04k,percent_inspections_with_04k,complaint_percentile,inspection_evidence_percentile,potential_underreporting_score,interpretation
11361,33.0,33.0,31.0,0.0,6.78,12.795384615384616,30.0,3.0,8.974615384615404,211.0,141.0,1.0,0.47,19.1,15.2,-3.9,Datasets broadly similar
11362,12.0,12.0,12.0,0.0,4.22,2.6316666666666664,12.0,0.0,0.0,92.0,55.0,4.0,4.35,7.3,72.5,65.2,High potential under-reporting signal
11363,5.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,13.0,3.0,0.0,0.0,,,Insufficient data,
11364,20.0,18.0,18.0,0.0,10.6,11.476666666666668,15.0,3.0,11.111111111111114,118.0,57.0,2.0,1.69,10.7,28.7,18.0,Datasets broadly similar
11365,31.0,29.0,30.0,0.0,4.69,8.723571428571427,28.0,1.0,7.142857142857139,91.0,56.0,3.0,3.3,18.0,60.1,42.1,High potential under-reporting signal
11366,30.0,26.0,26.0,0.0,6.93,12.450909090909091,25.0,1.0,4.545454545454561,86.0,49.0,4.0,4.65,17.4,74.7,57.3,High potential under-reporting signal
11367,122.0,119.0,107.0,0.04,9.56,12.627777777777778,98.0,21.0,13.772105263157897,59.0,37.0,0.0,0.0,46.1,0.0,-46.1,Reporting exceeds restaurant evidence
11368,207.0,197.0,188.0,0.0,6.94,10.607,174.0,23.0,6.367500000000007,474.0,263.0,12.0,2.53,67.4,47.2,-20.2,Datasets broadly similar
11369,129.0,123.0,115.0,0.0,4.96,8.7025,113.0,10.0,7.787499999999994,81.0,41.0,1.0,1.23,47.8,21.3,-26.5,Datasets broadly similar
11370,70.0,65.0,64.0,0.0,2.95,4.3989473684210525,62.0,3.0,4.736842105263165,28.0,17.0,1.0,3.57,31.5,65.7,34.2,Moderate potential under-reporting signal
11371,,,,,,,,,,8.0,8.0,0.0,0.0,,,Insufficient data,
11372,152.0,150.0,145.0,0.0,7.0,11.8725,137.0,13.0,6.111000000000004,674.0,357.0,20.0,2.97,55.1,53.4,-1.7,Datasets broadly similar
11373,118.0,107.0,98.0,0.0,3.17,7.3755,96.0,11.0,11.309499999999986,481.0,252.0,18.0,3.74,43.3,67.4,24.1,Moderate potential under-reporting signal
11374,223.0,217.0,210.0,0.75,7.98,19.774736842105263,195.0,22.0,10.171578947368403,145.0,86.0,3.0,2.07,71.9,34.8,-37.1,Datasets broadly similar
11375,196.0,186.0,176.0,0.0,6.23,24.986,168.0,18.0,9.858000000000004,343.0,209.0,8.0,2.33,66.9,41.0,-25.9,Datasets broadly similar
11377,249.0,241.0,230.0,0.0,5.61,11.363,220.0,21.0,8.581500000000005,368.0,200.0,12.0,3.26,74.2,59.0,-15.2,Datasets broadly similar
11378,134.0,130.0,125.0,0.0,5.07,15.101578947368422,121.0,9.0,10.994210526315797,155.0,79.0,2.0,1.29,50.6,23.6,-27.0,Datasets broadly similar
11379,160.0,149.0,148.0,0.0,2.77,8.3275,145.0,4.0,2.5,61.0,40.0,0.0,0.0,58.4,0.0,-58.4,Reporting exceeds restaurant evidence
11385,555.0,540.0,527.0,0.0,2.75,6.347,522.0,18.0,5.132499999999993,525.0,313.0,17.0,3.24,94.9,57.9,-37.0,Datasets broadly similar
11411,25.0,24.0,23.0,0.13,5.34,8.417272727272728,22.0,2.0,6.818181818181799,48.0,19.0,0.0,0.0,15.7,0.0,-15.7,Datasets broadly similar
11412,44.0,40.0,38.0,0.0,3.79,6.919333333333333,37.0,3.0,12.221999999999994,90.0,40.0,3.0,3.33,23.6,61.8,38.2,Moderate potential under-reporting signal
11413,60.0,58.0,47.0,0.0,6.0,9.618571428571428,45.0,13.0,10.286000000000001,93.0,44.0,2.0,2.15,26.4,36.5,10.1,Datasets broadly similar
11414,31.0,29.0,28.0,0.73,3.95,7.605000000000001,27.0,2.0,6.429000000000002,101.0,56.0,0.0,0.0,18.0,0.0,-18.0,Datasets broadly similar
11415,33.0,32.0,29.0,0.75,9.29,15.18,26.0,6.0,18.181818181818187,53.0,35.0,0.0,0.0,19.1,0.0,-19.1,Datasets broadly similar
11416,42.0,41.0,38.0,0.0,11.13,14.463333333333336,32.0,9.0,19.298421052631582,85.0,45.0,2.0,2.35,21.9,42.7,20.8,Moderate potential under-reporting signal
11417,69.0,66.0,58.0,0.0,4.36,7.965882352941177,55.0,11.0,13.796111111111102,123.0,69.0,2.0,1.63,30.9,26.4,-4.5,Datasets broadly similar
11418,35.0,33.0,31.0,0.0,6.85,11.333333333333334,29.0,4.0,11.111333333333334,138.0,80.0,6.0,4.35,20.2,72.5,52.3,High potential under-reporting signal
11419,80.0,75.0,73.0,0.0,2.09,4.282352941176471,73.0,2.0,5.555555555555557,213.0,99.0,10.0,4.69,34.3,75.3,41.0,High potential under-reporting signal
11420,49.0,48.0,47.0,0.0,4.64,7.489999999999999,45.0,3.0,7.842941176470603,133.0,74.0,7.0,5.26,24.7,81.5,56.8,High potential under-reporting signal
11421,43.0,40.0,39.0,0.0,1.04,2.700666666666667,39.0,1.0,3.3333333333333144,126.0,72.0,3.0,2.38,23.0,43.3,20.3,Moderate potential under-reporting signal
11422,13.0,12.0,12.0,0.0,3.63,4.837777777777777,12.0,0.0,0.0,71.0,38.0,1.0,1.41,7.9,25.3,17.4,Datasets broadly similar
11423,22.0,21.0,17.0,0.0,14.38,16.20909090909091,15.0,6.0,25.640769230769237,82.0,35.0,1.0,1.22,12.4,20.8,8.4,Datasets broadly similar
11426,27.0,27.0,24.0,0.0,5.53,6.8325,24.0,3.0,10.256153846153836,71.0,34.0,0.0,0.0,16.9,0.0,-16.9,Datasets broadly similar
11427,11.0,10.0,10.0,3.0,12.88,15.35,9.0,1.0,6.25,22.0,12.0,0.0,0.0,6.2,0.0,-6.2,Datasets broadly similar
11428,24.0,22.0,22.0,0.85,5.95,8.077272727272726,19.0,3.0,12.120909090909095,72.0,32.0,1.0,1.39,14.0,24.7,10.7,Datasets broadly similar
11429,20.0,18.0,16.0,0.0,3.57,4.2700000000000005,16.0,2.0,8.333333333333314,49.0,26.0,0.0,0.0,10.7,0.0,-10.7,Datasets broadly similar
11430,2.0,2.0,2.0,13.73,13.73,13.73,2.0,0.0,0.0,134.0,88.0,3.0,2.24,3.4,38.2,34.8,Moderate potential under-reporting signal
11431,,,,,,,,,,1.0,1.0,0.0,0.0,,,Insufficient data,
11432,171.0,161.0,153.0,0.0,4.2,10.383,146.0,15.0,13.484499999999997,431.0,174.0,29.0,6.73,60.7,92.7,32.0,Moderate potential under-reporting signal
11433,80.0,78.0,74.0,0.0,4.65,10.34722222222222,72.0,6.0,9.367222222222225,59.0,29.0,2.0,3.39,34.3,62.4,28.1,Moderate potential under-reporting signal
11434,78.0,74.0,69.0,0.0,4.38,4.104444444444444,68.0,6.0,8.879473684210524,160.0,81.0,4.0,2.5,33.7,46.1,12.4,Datasets broadly similar
11435,106.0,96.0,91.0,0.0,3.84,9.383684210526315,88.0,8.0,8.245789473684198,226.0,105.0,15.0,6.64,41.6,91.6,50.0,High potential under-reporting signal
11436,42.0,39.0,37.0,0.0,11.95,16.655714285714286,30.0,9.0,19.64285714285714,57.0,28.0,1.0,1.75,21.9,29.2,7.3,Datasets broadly similar
11691,67.0,63.0,62.0,0.0,1.47,4.392631578947368,61.0,2.0,7.89473684210526,68.0,43.0,2.0,2.94,30.3,52.2,21.9,Moderate potential under-reporting signal
11692,11.0,11.0,9.0,0.0,4.27,4.807499999999999,9.0,2.0,11.111111111111114,20.0,14.0,0.0,0.0,6.2,0.0,-6.2,Datasets broadly similar
11693,20.0,19.0,18.0,0.0,2.48,4.284000000000001,17.0,2.0,15.0,37.0,28.0,1.0,2.7,10.7,50.6,39.9,Moderate potential under-reporting signal
11694,40.0,40.0,37.0,0.21,12.03,9.092777777777778,31.0,9.0,10.277777777777771,55.0,37.0,1.0,1.82,20.8,30.3,9.5,Datasets broadly similar
11697,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,Insufficient data,
