zipcode,total_rat_sightings,mature_rat_sightings,closed_rat_sightings,median_resolution_days,average_resolution_days,avg_p90_resolution_days,resolved_within_30_days,not_resolved_within_30_days,avg_percent_unresolved_within_30_days,represented_inspections,inspected_restaurants,inspections_with_04k,percent_inspections_with_04k,complaint_percentile,inspection_evidence_percentile,potential_underreporting_score,interpretation
10039,240.0,234.0,233.0,0.54,3.21,10.6245,221.0,13.0,6.634,31.0,18.0,0.0,0.0,73.6,0.0,-73.6,Reporting exceeds restaurant evidence
10040,166.0,154.0,159.0,0.83,3.73,8.788421052631579,150.0,4.0,2.4910526315789383,138.0,78.0,9.0,6.52,59.6,91.0,31.4,Moderate potential under-reporting signal
10041,,,,,,,,,,3.0,1.0,0.0,0.0,,,Insufficient data,
10044,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,3.0,0.0,0.0,,,Insufficient data,
10055,,,,,,,,,,3.0,1.0,0.0,0.0,,,Insufficient data,
10065,75.0,69.0,70.0,0.0,2.39,5.702,68.0,1.0,5.0,255.0,163.0,9.0,3.53,32.6,64.0,31.4,Moderate potential under-reporting signal
10069,13.0,11.0,12.0,0.83,3.24,3.71,11.0,0.0,0.0,,,,,,,Insufficient data,
10075,143.0,133.0,135.0,0.0,3.08,5.814,128.0,5.0,5.25,133.0,89.0,4.0,3.01,52.2,54.5,2.3,Datasets broadly similar
10080,,,,,,,,,,2.0,1.0,0.0,0.0,,,Insufficient data,
10103,,,,,,,,,,4.0,2.0,0.0,0.0,,,Insufficient data,
10105,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,50.0,6.0,2.0,0.0,0.0,,,Insufficient data,
10106,,,,,,,,,,1.0,1.0,0.0,0.0,,,Insufficient data,
10107,,,,,,,,,,1.0,1.0,0.0,0.0,,,Insufficient data,
10110,,,,,,,,,,1.0,1.0,0.0,0.0,,,Insufficient data,
10111,,,,,,,,,,5.0,2.0,0.0,0.0,,,Insufficient data,
10112,0.0,,,,,,,,,42.0,27.0,0.0,0.0,0.0,0.0,0.0,Insufficient data
10115,,,,,,,,,,2.0,1.0,0.0,0.0,,,Insufficient data,
10116,,,,,,,,,,3.0,1.0,0.0,0.0,,,Insufficient data,
10118,,,,,,,,,,12.0,3.0,0.0,0.0,,,Insufficient data,
10119,1.0,1.0,,,,,0.0,1.0,100.0,36.0,27.0,0.0,0.0,1.7,0.0,-1.7,Datasets broadly similar
10121,0.0,,,,,,,,,99.0,84.0,0.0,0.0,0.0,0.0,0.0,Insufficient data
10123,,,,,,,,,,2.0,1.0,0.0,0.0,,,Insufficient data,
10128,386.0,370.0,380.0,0.0,2.7,10.056499999999998,368.0,2.0,1.0335000000000036,233.0,146.0,14.0,6.01,87.1,88.2,1.1,Datasets broadly similar
10151,,,,,,,,,,1.0,1.0,0.0,0.0,,,Insufficient data,
10152,,,,,,,,,,1.0,1.0,0.0,0.0,,,Insufficient data,
10153,,,,,,,,,,3.0,1.0,0.0,0.0,,,Insufficient data,
10154,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,,,Insufficient data,
10155,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,,Insufficient data,
10158,,,,,,,,,,2.0,1.0,0.0,0.0,,,Insufficient data,
10165,,,,,,,,,,3.0,1.0,0.0,0.0,,,Insufficient data,
10167,,,,,,,,,,6.0,2.0,0.0,0.0,,,Insufficient data,
10168,,,,,,,,,,2.0,1.0,0.0,0.0,,,Insufficient data,
10169,,,,,,,,,,19.0,5.0,0.0,0.0,,,Insufficient data,
10171,,,,,,,,,,2.0,1.0,0.0,0.0,,,Insufficient data,
10172,,,,,,,,,,3.0,1.0,0.0,0.0,,,Insufficient data,
10173,,,,,,,,,,2.0,1.0,0.0,0.0,,,Insufficient data,
10174,,,,,,,,,,2.0,1.0,0.0,0.0,,,Insufficient data,
10176,,,,,,,,,,1.0,1.0,0.0,0.0,,,Insufficient data,
10177,,,,,,,,,,1.0,1.0,0.0,0.0,,,Insufficient data,
10178,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,,,Insufficient data,
10271,,,,,,,,,,5.0,2.0,0.0,0.0,,,Insufficient data,
10279,,,,,,,,,,1.0,1.0,0.0,0.0,,,Insufficient data,
10280,4.0,4.0,4.0,1.85,3.96,5.28,4.0,0.0,0.0,37.0,24.0,0.0,0.0,4.5,0.0,-4.5,Datasets broadly similar
10281,0.0,,,,,,,,,22.0,17.0,0.0,0.0,0.0,0.0,0.0,Insufficient data
10282,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,23.0,14.0,0.0,0.0,3.4,0.0,-3.4,Datasets broadly similar
10301,75.0,70.0,71.0,0.0,5.15,10.224736842105264,66.0,4.0,11.403684210526322,160.0,97.0,2.0,1.25,32.6,21.9,-10.7,Datasets broadly similar
10302,62.0,59.0,53.0,0.0,4.2,6.488823529411765,50.0,9.0,12.61888888888889,103.0,63.0,1.0,0.97,28.1,18.0,-10.1,Datasets broadly similar
10303,71.0,67.0,62.0,0.0,3.4,8.378666666666668,62.0,5.0,10.0,50.0,36.0,1.0,2.0,32.0,32.6,0.6,Datasets broadly similar
